Business Name,Search Term,Website,Raw Text
Skin Radiance Med Spa,"Med Spas in Tampa, FL",N/A,"Skin Radiance Med Spa | 4.9(205) | Medical spa ·  · 3211 W Bay to Bay Blvd | Closed · Opens 9 AM |   ""I left feeling refreshed, pampered, and radiant!"""
Cell Renew Medical Spa Downtown,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/6eb56b38-c724-4cbc-ba76-c959f8402305/widget?location_wl=111dda34-9b6f-4cb0-aef7-f9696182c907&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnGGsHjBRNA0eAajH1Cz2Qt6EZzL10xdZ_VIcM4mPnRrJNqj_uenuHjkJPsr7AOhfKdAAf5t8UzxFLQ1VNSIn5r9KMpGrg%3D%3D,"Cell Renew Medical Spa Downtown | 4.9(407) | Medical spa ·  · 1212 E Whiting St UNIT 102 | Closed · Opens 10 AM |   ""A very friendly, relaxing and high end feel at each appointment."" |    | Book online"
TAO Wellness Med Spa,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/a4594f7c-7605-49d9-a9e9-b2f4262b2f59/widget?location_wl=de8c0126-567b-4d4d-9ada-1ac726af8e7c&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnHyvwjeWlGG2pW9R1it4mykWrhwmo2xOq_XeUbwWvguKk2OPc7P27Yfm6SJmHv1xvoueZXTv0xeycG9n3vBEkz0zCGGcw%3D%3D,"TAO Wellness Med Spa | 4.8(359) | Medical spa ·  · 2001 W Kennedy Blvd | Closed · Opens 9 AM |   ""I left feeling relaxed and pampered."" |    | Book online"
Roots Wellness and Medspa,"Med Spas in Tampa, FL",N/A,"Roots Wellness and Medspa | 4.8(89) | Medical spa ·  · 1120 E Kennedy Blvd UNIT 125 | Closed · Opens 10 AM |   ""I felt comfortable the entire time and my face was | GLOWING afterwards."""
SB Health & Beauty Med Spa,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/3c024c4b-275a-4949-bc7c-313d54701625/widget?location_wl=19cd1d2a-85fc-4ada-b6f6-bc89f4961dce&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnFmV6ogrrr4_BG4o21VVi5oPlscm9PdciWFE0LfN8Lo1b7UAYopWOToljl63WKYewPfuz9vitKl4P3DLkDode9y25ljdA%3D%3D,"SB Health & Beauty Med Spa | 4.7(305) | Medical spa ·  · 116 S Oregon Ave | Closed · Opens 9 AM |   ""Very relaxing and I felt like a million dollars when I left."" |    | Book online"
Tampa Bay Total Wellness Anti Aging Med Spa,"Med Spas in Tampa, FL",N/A,"Tampa Bay Total Wellness Anti Aging Med Spa | 5.0(202) | Medical spa ·  · 300 S Hyde Park Ave | Closed · Opens 9 AM |   ""Tammi does my pellet therapy and is always so accurate."""
Silk Med Spa,"Med Spas in Tampa, FL",https://silklaserhair.janeapp.com/?hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnHpXt94zEmwPEpDm49GqR3fHY6nlXseaF01QfMELepGOb1YuKXp30Pn0c89SpT1kEyX_53MN4Y3jW5gGauQbokeWCRg2g%3D%3D,"Silk Med Spa | 5.0(85) | Skin care clinic ·  · 3902 Henderson Blvd #205 | Closed · Opens 9 AM |   ""My skin was absolutely glowing afterward—smooth, hydrated, and refreshed."" |    | Book online"
Aspire MedSpa & Beauty Bar,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/fd7a5922-4e28-4090-8444-b2a1a3bcdaf3/widget?location_wl=9ddfdbc5-83d8-43a3-b7f7-e01207740f80&hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnEZNK7a3DXVdym0LM6V6bPMDOzAkASG4Z-oeRWXlPGZ0sDV14ZQQEXpY3muz1KeurzIKHaIWZnpO7t3yMqhPnhupElFTA%3D%3D,"Aspire MedSpa & Beauty Bar | 4.9(667) | Medical spa ·  · 12932 N Dale Mabry Hwy | Closed · Opens 9 AM |   ""Such a clean and beautiful facility with and knowledgeable staff."" |    | Book online"
VIVIFY Med Spa,"Med Spas in Tampa, FL",N/A,"VIVIFY Med Spa | 5.0(160) | Medical spa ·  · 1000 W Kennedy Blvd #202 | Closed · Opens 8 AM |   ""The spa is very clean and the staff is all very friendly."""
ÉLAN Aesthetics,"Med Spas in Tampa, FL",N/A,"ÉLAN Aesthetics | 5.0(425) | Medical spa ·  · 1503 W Swann Ave | Closed · Opens 9 AM |   ""Gave great recommendations & I felt more pampered than ever."""
LUXE Aesthetics,"Med Spas in Tampa, FL",https://luxetampa.glossgenius.com/services?hl=en-US&gei=hfeTaaOxLIiKwbkPwLbBuAM&rwg_token=AFd1xnFB4lq01aQFW7Ed_irDHDap3DMQC_1GKYw6le8rkTNjQeNsos41jcxLVW1F3-RNqm7LjDORNisQ43rExP3kMUUQQh6NrA%3D%3D,"LUXE Aesthetics | 5.0(81) | Medical spa ·  · 4330 S Manhattan Ave | Closed · Opens 11:30 AM |   ""The Procell treatments and the Diamond Glow facial is amazing!"" |    | Book online"
Tampa Bay Cosmetic Surgery Center,"Med Spas in Tampa, FL",N/A,Sponsored |  | Tampa Bay Cosmetic Surgery Center | 4.8(260) | Plastic surgery clinic · 6025 4th Street North | Closed · Opens 8:30 AM |  
Sergay Dermatology,"Med Spas in Tampa, FL",N/A,Sponsored |  | Sergay Dermatology | 5.0(43) | Dermatologist · 3216 West Azeele Street | Closed · Opens 10 AM |     Meet Dr. Amanda Sergay | Same Day Appointments. Medical & Cosmetic. South Tampa location. Insurance not accepted. | Visit Site
Glow Wellness Spa & Beauty Bungalow,"Med Spas in Tampa, FL",N/A,"Glow Wellness Spa & Beauty Bungalow | 4.9(148) | Day spa ·  · 3105 W Barcelona St | Closed · Opens 10 AM |   ""I have been here for facials and massages, both are top notch!"""
The Aesthetics Lab,"Med Spas in Tampa, FL",N/A,"The Aesthetics Lab | 4.9(366) | Medical spa ·  · 4014 W Estrella St STE A | Closed · Opens 9 AM |   ""The entire experience felt both deeply relaxing and results-driven."""
Omni Life Med+ Wellness,"Med Spas in Tampa, FL",https://omnilife.janeapp.com/locations/omni-life-med-wellness/book?hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnFXyqCaL_eWU_tTwq4KyGgqCbH6U2qXY84zCnCdc13kDHBbNCxTPCCH-BCEAeu6IlKUSj_LkyA0RPl5O6WvcQr5sUN4ow%3D%3D,"Omni Life Med+ Wellness | 4.9(435) | Medical spa ·  · 1209 W Swann Ave | Closed · Opens 9 AM |   ""From the life changing treatments to the outstanding staff."" |    | Book online"
Wellness 360 Plus,"Med Spas in Tampa, FL",N/A,"Wellness 360 Plus | 5.0(50) | Medical spa ·  · 4231 W Bay to Bay Blvd | Closed · Opens 10 AM |   ""I feel like a new person and would never go back to how my body felt before."""
BevelUp Midtown,"Med Spas in Tampa, FL",https://bevelup.zenoti.com/webstoreNew/services/59c66cab-f1c2-42a3-adb2-711d70851925?merchantId=59c66cab-f1c2-42a3-adb2-711d70851925&booking_source=booknow&booking_medium=google&hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnEZrEUdZk8xoPj7rQIDuIrFQpSfu7eke6Nl8QhXqd3sIGrWZT2qEXAsrySC2H_AntrI3D373acmy3ORwYhzJf90SXhU6A%3D%3D,"BevelUp Midtown | 4.8(318) | Medical spa ·  · 3720 Midtown Dr | Closed · Opens 9 AM |   ""The decor, staff, treatment, experience, & products are all top notch!"" |    | Book online"
Rare Aesthetics Medical Spa,"Med Spas in Tampa, FL",https://rareaestheticsllc.janeapp.com/locations/rare-aesthetics-llc/book?hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnHt31qE8TebHjtMw7kUOjsirnjR0-VBnBr2cUqp4OgwibIOcn3ME8iksKNlwSYEf8tiqYGyVApwUO3OQ1nOg4OMNr9X7Q%3D%3D,"Rare Aesthetics Medical Spa | 4.9(54) | Medical spa ·  · 608 S Tampania Ave | Closed · Opens 10 AM |   ""I had such a great experience at Rare Aesthetics for my Botox treatment!"" |    | Book online"
Lecada Medical Artistry,"Med Spas in Tampa, FL",N/A,"Lecada Medical Artistry | 4.7(474) | Medical spa ·  · 342 S Hyde Park Ave | Closed · Opens 10 AM |   ""the service itself was quick, professional, and honestly kind of relaxing!"""
Faces of South Tampa,"Med Spas in Tampa, FL",N/A,"Faces of South Tampa | 4.6(64) | Medical spa ·  · 4807 Bayshore Blvd | Closed · Opens 9 AM |   ""Brad takes care of me for my Morpheus treatments and is AMAZING!"""
The Wellness Club,"Med Spas in Tampa, FL",N/A,"The Wellness Club | 4.9(113) | Medical spa ·  · 3602 W Azeele St | Closed · Opens 8 AM |   ""I always leave feeling so relaxed and glowy!"""
Hermann Aesthetics & Wellness,"Med Spas in Tampa, FL",N/A,"Hermann Aesthetics & Wellness | 4.9(237) | Medical spa ·  · 1111 Assembly Dr | Closed · Opens 9 AM |   ""The service is exceptional, and the office is both beautiful and relaxing."""
Zi Medspa,"Med Spas in Tampa, FL",https://na02.patientnow.com/a/ZIMEDSPA/OnlineBooking.aspx?hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnENS3kexd6MtCPEbQCb6dGQ5c3aOJoSE63nsJx14HO0zc9Bh9BdalWPLFGGYEJwOTzzcHZu9BqlOdvjNhytugjr0_kNnQ%3D%3D,"Zi Medspa | 5.0(113) | Medical spa ·  · 12970 N Dale Mabry Hwy | Closed · Opens 9 AM |   ""It was so relaxing I almost went to sleep and my face feels so soft."" |    | Book online"
Tre Medspa,"Med Spas in Tampa, FL",N/A,"Tre Medspa | 4.8(264) | Medical spa ·  · 11013 Countryway Blvd | Closed · Opens 9 AM |   ""It was so relaxing and I noticed that my skin felt soft & smooth afterwards."""
Elixir Aesthetics,"Med Spas in Tampa, FL",https://elixiraesthetics.janeapp.com/?hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnHuE2QtDjtcikby-88St1cA1_M4l2Jcef4cRk6TqSRNVR_1_Ua9_Xi4pbLgTsfcvTcEe7cZ8p6u_5dw8KHY13Ia6CGoZQ%3D%3D,"Elixir Aesthetics | 5.0(112) | Medical spa ·  · 2908 W Azeele St | Closed · Opens 9 AM |   ""I left feeling rejuvenated and can't wait to return for my next appointment."" |    | Book online"
Spa Sudeva,"Med Spas in Tampa, FL",N/A,"Spa Sudeva | 4.8(163) | Beauty salon ·  · 2406 S MacDill Ave | Closed · Opens 10 AM |   ""I felt completely rejuvenated, and it was worth every penny I spent."""
Elite Medical Aesthetics and Age Management,"Med Spas in Tampa, FL",N/A,"Elite Medical Aesthetics and Age Management | 5.0(134) | Medical spa ·  · 4905 W Laurel St Suite 202 | Closed · Opens 10 AM |   ""Not only do I look refreshed, my tension headaches are gone."""
Skin Savvy,"Med Spas in Tampa, FL",N/A,"Skin Savvy | 4.8(64) | Medical spa ·  · 2802 W Azeele St | Closed · Opens 9 AM |   ""They do free skin consultations where you can come in sit with a specialist."""
Spa Jardin,"Med Spas in Tampa, FL",N/A,"Spa Jardin | 4.8(184) | Day spa ·  · 5206 S MacDill Ave | Closed · Opens 9 AM |   ""I left feeling like a brand-new woman, the next time I’m in town;"""
The Bay Spa,"Med Spas in Tampa, FL",https://thebayspatampa.glossgenius.com/services?hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnHi1u5EPoSjwhTrqcIcZO6skLo6fG9f-aMR7biW9HPPUC2vleyz-iH45v-LdIWD5LxeFrWB4ACF7WC4uDEP0YK9Vtfnqw%3D%3D,"The Bay Spa | 5.0(122) | Spa · 2120 S MacDill Ave f | Closed · Opens 10 AM |   ""So relaxing and always feel so clean and refreshed for days after."" |    | Book online"
BioDesign Clinic + MedSpa,"Med Spas in Tampa, FL",https://dashboard.boulevard.io/booking/businesses/1596680c-29c3-4232-aaaa-56569c6ab0b4/widget?location_wl=a4d721c4-41ed-4010-9a1a-7ac95af2113c&hl=en-US&gei=jveTaZzcNIOJwbkP5OassAY&rwg_token=AFd1xnFzep7v_0ZzDPmeGbUU0L2Xepc4v6V11YvVRv-DasYK2z6PCijUR4g7qxC-oXKmv7H6G-A4ebJBuV_I6YxODTL3qf_x1w%3D%3D,"BioDesign Clinic + MedSpa | 4.9(444) | Medical spa ·  · 3200 Henderson Blvd Floor 1 | Closed · Opens 9 AM |   ""I went in for facial balancing and had an amazing experience!"" |    | Book online"
